,ListingId,借款金额,借款期限,借款利率,借款成功日期,初始评级,借款类型,是否首标,年龄,性别,手机认证,户口认证,视频认证,学历认证,征信认证,淘宝认证,历史成功借款次数,历史成功借款金额,总待还本金,历史正常还款期数,历史逾期还款期数,我的投资金额,当前到期期数,当前还款期数,已还本金,已还利息,待还本金,待还利息,标当前逾期天数,标当前状态,上次还款日期,上次还款本金,上次还款利息,下次计划还款日期,下次计划还款本金,下次计划还款利息,recorddate
268118,9439729,3350,9,18.0,2016/3/8,B,其他,否,30,女,成功认证,未成功认证,成功认证,成功认证,未成功认证,未成功认证,4.0,11793.0,7645.94,11,0,100,8,6,100.0,6.54,0.0,0.0,0,已还清,2016/9/5,46.13,0.61,,,,2016/11/30
271652,15989985,9000,12,18.0,2016/7/22,B,普通,是,36,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,60,2,2,9.27,1.73,50.73,4.27,0,正常还款中,2016/9/19,4.67,0.83,2016/10/22,4.74,0.76,2016/9/30
146211,16271163,4232,6,18.0,2016/7/24,B,普通,否,35,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,5.0,27882.0,7768.27,19,1,50,2,2,16.17,1.38,33.83,1.27,0,正常还款中,2016/9/23,8.15,0.63,2016/10/24,8.27,0.5,2016/9/30
95884,21748327,3500,12,16.0,2016/10/10,A,其他,否,31,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,11101.0,3678.88,14,0,51,2,2,7.94,1.31,43.06,3.21,0,正常还款中,2016/12/9,4.0,0.63,2017/1/10,4.06,0.57,2016/12/31
12694,2774173,3870,9,11.0,2015/6/14,AA,普通,否,32,男,成功认证,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,3000.0,1029.97,2,4,500,9,9,500.0,23.17,0.0,0.0,0,已还清,2016/3/14,57.64,0.49,,,,2016/12/31
203397,15455817,5400,12,18.0,2016/7/11,B,普通,否,26,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,10000.0,6057.83,10,0,50,3,3,11.67,2.08,38.33,2.92,0,正常还款中,2016/10/9,3.95,0.64,2016/11/11,4.01,0.57,2016/10/31
177055,8026110,7500,6,10.0,2016/1/25,AA,普通,是,29,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,6,6,300.0,8.76,0.0,0.0,0,已还清,2016/7/24,51.07,0.39,,,,2016/9/30
37447,3909679,3000,12,11.5,2015/8/30,AA,其他,否,25,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,3800.0,2537.73,3,0,500,12,7,500.0,22.95,0.0,0.0,0,已还清,2016/2/18,257.18,0.0,,,,2017/2/28
272673,7305436,8000,12,20.0,2016/1/6,C,普通,否,34,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,9500.0,5082.59,9,0,50,8,9,50.0,4.86,0.0,0.0,0,已还清,2016/9/9,17.82,0.0,,,,2016/9/30
172983,12886288,500,6,18.0,2016/5/26,B,APP闪电,否,19,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,500.0,0.0,6,0,30,6,6,30.0,1.59,0.0,0.0,0,已还清,2016/11/2,5.19,0.08,,,,2017/2/28
